TransactionID,CustomerID,TransactionDate,TransactionType,Amount,Location,Status
T001,C101,2026-01-05,Deposit,50000,Thiruvananthapuram,Success
T002,C102,2026-01-05,Withdrawal,12000,Kochi,Success
T003,C103,2026-01-06,Transfer,25000,Kozhikode,Success
T004,C104,2026-01-06,Payment,4500,Kollam,Success
T005,C101,2026-01-07,Withdrawal,8000,Thiruvananthapuram,Success
T006,C105,2026-01-07,Deposit,75000,Kannur,Success
T007,C106,2026-01-08,Transfer,15000,Kochi,Failed
T008,C107,2026-01-08,Payment,3200,Alappuzha,Success
T009,C102,2026-01-09,Withdrawal,18000,Kochi,Success
T010,C108,2026-01-09,Deposit,60000,Kottayam,Success
T011,C103,2026-01-10,Payment,7200,Kozhikode,Success
T012,C109,2026-01-10,Transfer,45000,Thiruvananthapuram,Failed
T013,C104,2026-01-11,Withdrawal,5000,Kollam,Success
T014,C110,2026-01-11,Deposit,90000,Kochi,Success
T015,C105,2026-01-12,Payment,12500,Kannur,Success
T016,C106,2026-01-12,Withdrawal,22000,Kochi,Failed
T017,C107,2026-01-13,Transfer,30000,Alappuzha,Success
T018,C108,2026-01-13,Payment,5600,Kottayam,Success
T019,C109,2026-01-14,Withdrawal,9500,Thiruvananthapuram,Success
T020,C110,2026-01-14,Transfer,40000,Kochi,Success
